Alaska;Alaska;América del norte;AméricaNorte
Alberta;Alberta;América del norte;AméricaNorte
Estados Unidos del Oeste;USAOeste;América del Norte;AméricaNorte
Territorios del Noroeste;TNoroeste;América del Norte;AméricaNorte
Ontario;Ontario;América del Norte;AméricaNorte
Estados Unidos del Este;USAEste;América del Norte;AméricaNorte
América Central;AmeCentral;América del Norte;AméricaNorte
Groenlandia;Groenlan;América del Norte;AméricaNorte
Quebec;Quebec;América del Norte;AméricaNorte
Venezuela;Venezuela;América del Sur;AméricaSur
Perú;Perú;América del Sur;AméricaSur
Argentina;Argentina;América del Sur;AméricaSur
Brasil;Brasil;América del Sur;AméricaSur
Islandia;Islandia;Europa;Europa
Escandinavia;Escandina;Europa;Europa
Gran Bretaña;GBretaña;Europa;Europa
Europa Occidental;EurOcc;Europa;Europa
Europa del Norte;EurNorte;Europa;Europa
Europa del Sur;EurSur;Europa;Europa
Rusia;Rusia;Europa;Europa
África del Norte;ANorte;África;África
Congo;Congo;África;África
Egipto;Egipto;África;África
África Oriental;AOriental;África;África
Sudáfrica;Sudáfrica;África;África
Madagascar;Madagasca;África;África
Siberia;Siberia;Asia;Asia
Yakustsk;Yakustsk;Asia;Asia
Urales;Urales;Asia;Asia
Afganistán;Afgan;Asia;Asia
Oriente Medio;OMedio;Asia;Asia
Kamchatka;Kamchatka;Asia;Asia
Irkutsk;Irkutsk;;Asia;Asia
Mongolia;Mongolia;Asia;Asia
China;China;Asia;Asia
India;India;Asia;Asia
Japón;Japón;Asia;Asia
Sureste Asiático;SAsiático;Asia;Asia
Indonesia;Indonesia;Oceanía;Oceanía
Australia Occidental;AusOccid;Oceanía;Oceanía
Nueva Guinea;NGuinea;Oceanía;Oceanía
Australia Oriental;AusOrient;Oceanía;Oceanía